time, Quad.Est.E.Pos, Quad.Est.S.Z
1.570017,0.130986,0.328352
1.575018,0.131443,0.328540
1.580018,0.131659,0.328666
1.585018,0.132097,0.328855
1.590018,0.132342,0.328983
1.595019,0.132773,0.329174
1.600019,0.133233,0.329302
1.605019,0.161811,0.328163
1.610019,0.162369,0.328280
1.615019,0.163280,0.328458
1.620020,0.163891,0.328577
1.625020,0.164803,0.328756
1.630020,0.165412,0.328876
1.635020,0.166324,0.329057
1.640021,0.166936,0.329178
1.645021,0.167843,0.329360
1.650021,0.168433,0.329482
1.655021,0.169323,0.329666
1.660022,0.169851,0.329789
1.665022,0.170711,0.329975
1.670022,0.171283,0.330100
1.675022,0.172143,0.330287
1.680022,0.172822,0.330412
1.685023,0.173704,0.330601
1.690023,0.174233,0.330728
1.695023,0.175105,0.330919
1.700023,0.175705,0.331047
1.705024,0.152527,0.329908
1.710024,0.152993,0.330026
1.715024,0.153718,0.330202
1.720024,0.154216,0.330321
1.725025,0.154939,0.330500
1.730025,0.155451,0.330619
1.735025,0.156164,0.330799
1.740025,0.156636,0.330920
1.745026,0.157353,0.331102
1.750026,0.157827,0.331223
1.755026,0.158541,0.331407
1.760026,0.159002,0.331529
1.765026,0.159709,0.331714
1.770027,0.160200,0.331838
1.775027,0.160913,0.332025
1.780027,0.161402,0.332150
1.785027,0.162118,0.332338
1.790028,0.162687,0.332464
1.795028,0.163421,0.332654
1.800028,0.163839,0.332782
1.805028,0.161503,0.331645
1.810029,0.161836,0.331762
1.815029,0.162524,0.331938
1.820029,0.162964,0.332056
1.825029,0.163657,0.332234
1.830029,0.164093,0.332353
1.835030,0.164795,0.332533
1.840030,0.165270,0.332653
1.845030,0.165963,0.332834
1.850030,0.166413,0.332955
1.855031,0.167092,0.333138
1.860031,0.167576,0.333260
1.865031,0.168268,0.333445
1.870031,0.168699,0.333568
1.875032,0.169383,0.333754
1.880032,0.169738,0.333878
1.885032,0.170400,0.334066
1.890032,0.170722,0.334192
1.895033,0.171363,0.334381
1.900033,0.171728,0.334507
1.905033,0.153452,0.333373
1.910033,0.153448,0.333489
1.915033,0.153747,0.333665
1.920034,0.153954,0.333783
1.925034,0.154253,0.333960
1.930034,0.154443,0.334079
1.935034,0.154747,0.334258
1.940035,0.154947,0.334377
1.945035,0.155254,0.334558
1.950035,0.155469,0.334678
1.955035,0.155790,0.334860
1.960036,0.155967,0.334982
1.965036,0.156272,0.335166
1.970036,0.156441,0.335289
1.975036,0.156736,0.335474
1.980036,0.156799,0.335598
1.985037,0.157066,0.335785
1.990037,0.157444,0.335910
1.995037,0.157747,0.336098
2.000037,0.157758,0.336224
2.005037,0.166117,0.335092
2.010037,0.166351,0.335208
2.015036,0.166492,0.335383
2.020036,0.166560,0.335501
2.025036,0.166713,0.335677
2.030035,0.166821,0.335795
2.035035,0.166976,0.335974
2.040035,0.167086,0.336093
2.045034,0.167237,0.336272
2.050034,0.167340,0.336393
2.055033,0.167497,0.336574
2.060033,0.167582,0.336695
2.065033,0.167735,0.336878
2.070032,0.167898,0.337001
2.075032,0.168074,0.337185
2.080032,0.168232,0.337308
2.085031,0.168421,0.337494
2.090031,0.168460,0.337619
2.095031,0.168638,0.337807
2.100030,0.168804,0.337932
2.105030,0.158529,0.336803
2.110029,0.158833,0.336919
2.115029,0.159279,0.337093
2.120029,0.159642,0.337210
2.125028,0.160077,0.337386
2.130028,0.160385,0.337504
2.135028,0.160815,0.337681
2.140027,0.161087,0.337800
2.145027,0.161535,0.337979
2.150027,0.161842,0.338098
2.155026,0.162302,0.338279
2.160026,0.162598,0.338400
2.165025,0.163053,0.338582
2.170025,0.163452,0.338704
2.175025,0.163935,0.338887
2.180024,0.164106,0.339010
2.185024,0.164557,0.339196
2.190024,0.164751,0.339320
2.195023,0.165183,0.339506
2.200023,0.165626,0.339632
2.205023,0.190613,0.338505
2.210022,0.190866,0.338621
2.215022,0.191349,0.338794
2.220021,0.191695,0.338911
2.225021,0.192170,0.339086
2.230021,0.192431,0.339203
2.235020,0.192924,0.339380
2.240020,0.193260,0.339498
2.245020,0.193741,0.339676
2.250019,0.194074,0.339796
2.255019,0.194569,0.339975
2.260019,0.194979,0.340096
2.265018,0.195509,0.340277
2.270018,0.195864,0.340399
2.275017,0.196395,0.340581
2.280017,0.196654,0.340704
2.285017,0.197165,0.340888
2.290016,0.197463,0.341012
2.295016,0.197967,0.341198
2.300016,0.198413,0.341322
2.305015,0.201871,0.340200
2.310015,0.202363,0.340314
2.315015,0.202844,0.340487
2.320014,0.203233,0.340603
2.325014,0.203699,0.340778
2.330014,0.204000,0.340894
2.335013,0.204467,0.341070
2.340013,0.204786,0.341188
2.345012,0.205244,0.341366
2.350012,0.205521,0.341484
2.355012,0.205946,0.341663
2.360011,0.206242,0.341783
2.365011,0.206669,0.341964
2.370011,0.206884,0.342085
2.375010,0.207291,0.342267
2.380010,0.207660,0.342389
2.385010,0.208084,0.342572
2.390009,0.208765,0.342695
2.395009,0.209258,0.342881
2.400008,0.209662,0.343005
2.405008,0.221444,0.341885
2.410008,0.221801,0.342000
2.415007,0.222450,0.342172
2.420007,0.222927,0.342287
2.425007,0.223569,0.342461
2.430006,0.223915,0.342577
2.435006,0.224590,0.342753
2.440006,0.225032,0.342870
2.445005,0.225719,0.343047
2.450005,0.226149,0.343165
2.455004,0.226804,0.343343
2.460004,0.227282,0.343463
2.465004,0.227957,0.343642
2.470003,0.228439,0.343763
2.475003,0.229124,0.343944
2.480003,0.229609,0.344065
2.485002,0.230302,0.344248
2.490002,0.230673,0.344371
2.495002,0.231351,0.344555
2.500001,0.231838,0.344679
2.505001,0.179077,0.343563
2.510000,0.179482,0.343677
2.515000,0.179853,0.343848
2.520000,0.180027,0.343963
2.524999,0.180414,0.344136
2.529999,0.180753,0.344252
2.534999,0.181112,0.344427
2.539998,0.181334,0.344543
2.544998,0.181714,0.344719
2.549998,0.181959,0.344837
2.554997,0.182328,0.345015
2.559997,0.182566,0.345134
2.564996,0.182932,0.345313
2.569996,0.183100,0.345432
2.574996,0.183447,0.345613
2.579995,0.183899,0.345734
2.584995,0.184294,0.345916
2.589995,0.184534,0.346038
2.594994,0.184926,0.346222
2.599994,0.185123,0.346345
2.604994,0.187806,0.345232
2.609993,0.188035,0.345346
2.614993,0.188464,0.345517
2.619992,0.188773,0.345631
2.624992,0.189199,0.345803
2.629992,0.189430,0.345919
2.634991,0.189876,0.346093
2.639991,0.190157,0.346209
2.644991,0.190625,0.346384
2.649990,0.190882,0.346501
2.654990,0.191286,0.346678
2.659990,0.191675,0.346797
2.664989,0.192134,0.346975
2.669989,0.192322,0.347094
2.674989,0.192748,0.347274
2.679988,0.193035,0.347394
2.684988,0.193462,0.347576
2.689987,0.193704,0.347697
2.694987,0.194124,0.347880
2.699987,0.194154,0.348002
2.704986,0.203237,0.346894
2.709986,0.203558,0.347007
2.714986,0.203971,0.347177
2.719985,0.204264,0.347291
2.724985,0.204676,0.347463
2.729985,0.204913,0.347578
2.734984,0.205339,0.347751
2.739984,0.205623,0.347866
2.744983,0.206049,0.348041
2.749983,0.206312,0.348158
2.754983,0.206714,0.348334
2.759982,0.206965,0.348452
2.764982,0.207360,0.348629
2.769982,0.207518,0.348748
2.774981,0.207883,0.348927
2.779981,0.208198,0.349047
2.784981,0.208578,0.349227
2.789980,0.209177,0.349348
2.794980,0.209618,0.349530
2.799979,0.209771,0.349652
2.804979,0.221320,0.348548
2.809979,0.221845,0.348660
2.814978,0.222351,0.348830
2.819978,0.222551,0.348943
2.824978,0.223086,0.349114
2.829977,0.223484,0.349228
2.834977,0.224004,0.349401
2.839977,0.224373,0.349516
2.844976,0.224866,0.349690
2.849976,0.225211,0.349806
2.854975,0.225725,0.349982
2.859975,0.226084,0.350099
2.864975,0.226606,0.350276
2.869974,0.226960,0.350394
2.874974,0.227484,0.350572
2.879974,0.227834,0.350692
2.884973,0.228360,0.350871
2.889973,0.228826,0.350992
2.894973,0.229372,0.351173
2.899972,0.229733,0.351294
2.904972,0.209782,0.350194
2.909971,0.209955,0.350306
2.914971,0.210102,0.350475
2.919971,0.210164,0.350588
2.924970,0.210321,0.350758
